Timestamp_unix_ms,Lat,Long,Speed_m_s,Course_deg,CourseAccuracy_deg,HorizontalAccuracy_m,VerticalAccuracy_m,is_interpolated,quality_flag
1784234019999,-38.00861199353042,-57.54915513769069,0.9700000286102182,273.5156317884814,71.83967213848749,4.765342217144396,5.999999999999952,0,OK
1784234020999,-38.008617912349024,-57.54917343350772,1.3099999427795135,254.88282136737328,55.668414398648636,4.748651530191884,6.236679017769117,0,OK
1784234021999,-38.008613901353755,-57.549185159669996,1.3099999427795135,260.8593840685935,45.1532718326007,4.748651530191906,6.623869061226432,0,OK
1784234022999,-38.008607159669005,-57.54919663090635,1.2799999713897448,266.4843839579926,46.844584975816815,4.74865153019191,6.801208952771911,0,OK
1784234023999,-38.00859668868349,-57.54920591089977,1.2000000476836945,282.3046957206651,67.52372102863156,4.748651530191895,6.869005453768348,0,OK
1784234024999,-38.008588271997,-57.54920564619204,0.7099999785423234,285.11719230597674,110.7008719635794,4.748651530191807,6.755871037817087,0,OK
1784234025999,-38.008574999372875,-57.54921791667543,1.1900000572204383,303.04688199402716,50.38744919799795,4.748651530191895,6.878769435500068,0,OK
1784234026999,-38.008559573196045,-57.549223815783805,1.1900000572204383,322.7343800522592,64.68658854126144,4.748651530191884,6.6984148602099465,0,OK
1784234027999,-38.008551958771214,-57.54923668908399,1.1900000572204381,316.40625575340647,50.38744919799822,4.748651530191897,6.962757655628016,0,OK
1784234028999,-38.00854677541135,-57.54925164456845,1.2000000476836945,308.3203191012112,49.29231763881311,4.748651530191915,7.232897059884753,0,OK
1784234030000,-38.00854378056812,-57.54926982695852,1.279999971389745,293.20313324895466,54.44100436503981,4.748651530191947,7.432568098719454,0,OK
1784234031000,-38.00851840157802,-57.549298717823284,1.3489984300365228,314.8482976332707,82.09697781271439,6.1254895792070245,3,0,OK
1784234032000,-38.00851279443626,-57.54932017149488,1.3097609900066418,301.4015882029144,83.84129134492301,4.748651527669867,3,0,OK
1784234033000,-38.00849786407637,-57.5493432069393,1.2050270703303787,301.44067820629107,91.73940471509442,4.748651527796128,3,0,OK
1784234034000,-38.00849232433135,-57.549355793445194,1.2650805613346034,301.731909025219,88.57108743665992,5.650672591812663,3,0,OK
1784234035000,-38.00849361551832,-57.54937112142583,1.268399754975239,296.28795776401176,87.39284663098402,6.471268649145789,3,0,OK
1784234036000,-38.00848470577677,-57.549385197273644,1.3976945367108624,299.1857570217695,78.49127080702044,6.1267452223191645,3,0,OK
1784234037000,-38.00848978552696,-57.54940402880675,0.9243875480984362,301.50609346198354,140.74252510223891,6.810448146058477,3,0,OK
1784234038000,-38.00848306298738,-57.549419802451425,1.0484038145890584,297.53923767366746,121.21857101783407,7.055332236219213,3,0,OK
1784234039000,-38.00846907718215,-57.54942283486348,0.6976493905739211,311.23324173393866,180,8.48686320131059,3,0,OK
1784234040000,-38.00846333674148,-57.549437621495535,1.118230458962206,314.1229508737055,102.373568225148,8.727644198169939,3,0,OK
1784234041000,-38.00845777429151,-57.54944318595012,1.2546319145367704,313.6911310611547,89.93959405613776,8.974970014383924,3,0,OK
1784234042000,-38.008453988181344,-57.54945319664763,1.0763800929417062,302.19573327823855,104.94370187606803,8.821975579877922,3,0,OK
1784234043000,-38.008445098153125,-57.54946546960495,1.075753997982145,307.89093799418004,84.45392019365383,9.198937818859749,3,0,OK
1784234044000,-38.00842487406866,-57.549478934807404,1.3384963687363387,312.83476990943444,63.384318149807726,9.476802930489557,3.141113138333865,0,OK
1784234045000,-38.00841441022497,-57.54949018552922,1.3140605950589694,310.3287649433573,57.07356622350737,9.772458319525251,3.4085356322560796,0,OK
1784234046000,-38.008400578008256,-57.54951398044725,1.2467740904718663,303.77959334893836,66.75065842535805,9.927199567278862,3.5495284620329675,0,OK
1784234047000,-38.00840404021755,-57.54951846756819,0.9378291269751226,277.86385203154015,75.34566469321862,9.968392061238886,3.7809119836684735,0,OK
1784234048001,-38.00840375266867,-57.54952167650965,0.834921145360546,261.57399726035015,86.75034295787053,10.381652563489917,4.020456549650862,0,OK
1784234049001,-38.00840208575334,-57.549533720481925,0.9108513226200022,251.8080621753175,79.41709670298269,10.313999657984095,4.045911609985863,0,OK
1784234050001,-38.00840157123632,-57.549541669788645,0.6831782229939528,245.92522906320153,120.85966530837868,10.192236398921445,3.8467546344187253,0,OK
1784234051001,-38.00839547474136,-57.549549084130575,0.5288737436874613,249.43584705290812,167.76455719329357,10.215924309089031,3.867595197175726,0,OK
1784234052001,-38.00839564268606,-57.54956298613775,0.6058567154913913,255.8857537535037,139.8235350235987,10.338824172839448,3.9412157553896803,0,OK
1784234053001,-38.008392460975045,-57.549576160488954,0.6956998633498996,264.40838000425833,128.37531430286793,10.055668447729673,3.6321814934219936,0,OK
1784234054001,-38.00838576302112,-57.54960234854236,1.040833863677292,273.2082457996683,66.56111653876223,9.84914647526686,4.013844155279595,0,OK
1784234055001,-38.00836893440599,-57.549613090010354,1.0315820083101288,289.3935406767788,75.78318982128744,9.85498867740582,4.015618842549866,0,OK
1784234056001,-38.00836749909071,-57.54962401117271,0.9723045765689783,289.76248297960177,85.69244302123722,9.608420347844781,3.7189855210734892,0,OK
1784234057001,-38.00836245546377,-57.549634971620854,0.9439766111664809,292.16722853848853,86.40352979914678,9.758039156825228,3.4393390111182187,0,OK
1784234058001,-38.00835465354356,-57.54964487485336,0.9422481274758794,293.34525434848445,80.07067928067414,9.532950014144236,3.175020232929338,0,OK
1784234059001,-38.00834177801,-57.54965952722086,0.9939674846393252,298.4428691310674,95.67164101446528,9.68775085528436,3,0,OK
1784234060001,-38.008337856339146,-57.54969301624634,1.0658165446697236,292.30802767187623,87.68177750854139,9.515424751794098,3,0,OK
